VARIABLES = "x"	,"y"	,"u"
1.47	 0.33	 1.003826
1.47	 0.40	 1.004782
1.47	 0.47	 1.007367
1.47	 0.53	 1.008299
1.47	 0.60	 1.010253
1.47	 0.67	 1.010582
1.47	 0.73	 1.011289
1.47	 0.80	 1.010582
1.47	 0.87	 1.010253
1.47	 0.93	 1.008299
1.47	 1.00	 1.007367
1.47	 1.07	 1.004782
1.47	 1.13	 1.003826
1.47	 1.20	 1.001847
1.47	 1.27	 1.001306
1.47	 1.33	 1.000432
1.47	 1.40	 1.000266
1.47	 1.47	 1.000053
1.47	 1.53	 1.000028
1.47	 1.60	 1.000003
1.47	 1.67	 1.000001
1.47	 1.73	 1.000000
1.47	 1.80	 1.000000
1.47	 1.87	 1.000000
1.47	 1.93	 1.000000
1.47	 2.00	 1.000000
1.53	 0.00	 1.000000
1.53	 0.07	 1.000045
1.53	 0.13	 1.000213
1.53	 0.20	 1.000319
1.53	 0.27	 1.000860
1.53	 0.33	 1.001125
1.53	 0.40	 1.002082
1.53	 0.47	 1.002438
1.53	 0.53	 1.003393
1.53	 0.60	 1.003633
1.53	 0.67	 1.004154
1.53	 0.73	 1.004092
1.53	 0.80	 1.004154
1.53	 0.87	 1.003633
1.53	 0.93	 1.003393
1.53	 1.00	 1.002438
1.53	 1.07	 1.002082
1.53	 1.13	 1.001125
1.53	 1.20	 1.000860
1.53	 1.27	 1.000319
1.53	 1.33	 1.000215
1.53	 1.40	 1.000048
1.53	 1.47	 1.000028
1.53	 1.53	 1.000003
1.53	 1.60	 1.000001
1.53	 1.67	 1.000000
1.53	 1.73	 1.000000
1.53	 1.80	 1.000000
1.53	 1.87	 1.000000
1.53	 1.93	 1.000000
1.53	 2.00	 1.000000
1.60	 0.00	 1.000000
1.60	 0.07	 1.000021
1.60	 0.13	 1.000035
1.60	 0.20	 1.000139
1.60	 0.27	 1.000191
1.60	 0.33	 1.000455
1.60	 0.40	 1.000555
1.60	 0.47	 1.000913
1.60	 0.53	 1.001011
1.60	 0.60	 1.001274
1.60	 0.67	 1.001306
1.60	 0.73	 1.001397
1.60	 0.80	 1.001306
1.60	 0.87	 1.001274
1.60	 0.93	 1.001011
1.60	 1.00	 1.000913
1.60	 1.07	 1.000555
1.60	 1.13	 1.000455
1.60	 1.20	 1.000191
1.60	 1.27	 1.000139
1.60	 1.33	 1.000035
1.60	 1.40	 1.000023
1.60	 1.47	 1.000003
1.60	 1.53	 1.000001
1.60	 1.60	 1.000000
1.60	 1.67	 1.000000
1.60	 1.73	 1.000000
1.60	 1.80	 1.000000
1.60	 1.87	 1.000000
1.60	 1.93	 1.000000
1.60	 2.00	 1.000000
1.67	 0.00	 1.000000
1.67	 0.07	 1.000002
1.67	 0.13	 1.000015
1.67	 0.20	 1.000021
1.67	 0.27	 1.000072
1.67	 0.33	 1.000092
1.67	 0.40	 1.000191
1.67	 0.47	 1.000219
1.67	 0.53	 1.000319
1.67	 0.60	 1.000338
1.67	 0.67	 1.000388
1.67	 0.73	 1.000382
1.67	 0.80	 1.000388
1.67	 0.87	 1.000338
1.67	 0.93	 1.000319
1.67	 1.00	 1.000219
1.67	 1.07	 1.000191
1.67	 1.13	 1.000092
1.67	 1.20	 1.000072
1.67	 1.27	 1.000021
1.67	 1.33	 1.000015
1.67	 1.40	 1.000002
1.67	 1.47	 1.000001
1.67	 1.53	 1.000000
1.67	 1.60	 1.000000
1.67	 1.67	 1.000000
1.67	 1.73	 1.000000
1.67	 1.80	 1.000000
1.67	 1.87	 1.000000
1.67	 1.93	 1.000000
1.67	 2.00	 1.000000
1.73	 0.00	 1.000000
1.73	 0.07	 1.000001
1.73	 0.13	 1.000001
1.73	 0.20	 1.000007
1.73	 0.27	 1.000010
1.73	 0.33	 1.000029
1.73	 0.40	 1.000035
1.73	 0.47	 1.000063
1.73	 0.53	 1.000068
1.73	 0.60	 1.000088
1.73	 0.67	 1.000090
1.73	 0.73	 1.000095
1.73	 0.80	 1.000090
1.73	 0.87	 1.000088
1.73	 0.93	 1.000068
1.73	 1.00	 1.000063
1.73	 1.07	 1.000035
1.73	 1.13	 1.000029
1.73	 1.20	 1.000010
1.73	 1.27	 1.000007
1.73	 1.33	 1.000001
1.73	 1.40	 1.000001
1.73	 1.47	 1.000000
1.73	 1.53	 1.000000
1.73	 1.60	 1.000000
1.73	 1.67	 1.000000
1.73	 1.73	 1.000000
1.73	 1.80	 1.000000
1.73	 1.87	 1.000000
1.73	 1.93	 1.000000
1.73	 2.00	 1.000000
1.80	 0.00	 1.000000
1.80	 0.07	 1.000000
1.80	 0.13	 1.000000
1.80	 0.20	 1.000000
1.80	 0.27	 1.000003
1.80	 0.33	 1.000004
1.80	 0.40	 1.000009
1.80	 0.47	 1.000010
1.80	 0.53	 1.000016
1.80	 0.60	 1.000016
1.80	 0.67	 1.000019
1.80	 0.73	 1.000019
1.80	 0.80	 1.000019
1.80	 0.87	 1.000016
